2023-09-12-03-39: 
2023-09-12-03-39: epoch: 166 |lr: [0.004699624450731092] |train/supervised_loss: 0.00023955|train/bone_loss: 0.00482462|train/total_loss: 0.00506417|
2023-09-12-03-39: epoch: 167 |lr: [0.004695843058418101] |train/supervised_loss: 0.00022026|train/bone_loss: 0.00456171|train/total_loss: 0.00478197|
2023-09-12-03-39: epoch: 168 |lr: [0.0046920395539910165] |train/supervised_loss: 0.00020759|train/bone_loss: 0.00440419|train/total_loss: 0.00461178|
2023-09-12-03-39: epoch: 169 |lr: [0.004688213975751086] |train/supervised_loss: 0.00019831|train/bone_loss: 0.00438924|train/total_loss: 0.00458755|
2023-09-12-03-39: epoch: 170 |lr: [0.004684366362221843] |train/supervised_loss: 0.0002109|train/bone_loss: 0.00458434|train/total_loss: 0.00479524|
2023-09-12-03-39: epoch: 171 |lr: [0.00468049675214871] |train/supervised_loss: 0.00019723|train/bone_loss: 0.00432015|train/total_loss: 0.00451738|
2023-09-12-03-39: epoch: 172 |lr: [0.004676605184498619] |train/supervised_loss: 0.00019032|train/bone_loss: 0.0043532|train/total_loss: 0.00454352|
2023-09-12-03-39: epoch: 173 |lr: [0.004672691698459609] |train/supervised_loss: 0.00019074|train/bone_loss: 0.00433801|train/total_loss: 0.00452874|
2023-09-12-03-39: epoch: 174 |lr: [0.004668756333440444] |train/supervised_loss: 0.00018702|train/bone_loss: 0.00433076|train/total_loss: 0.00451778|
2023-09-12-03-39: epoch: 175 |lr: [0.004664799129070208] |train/supervised_loss: 0.00017549|train/bone_loss: 0.00405904|train/total_loss: 0.00423453|
